name,LIGHT REQUIREMENT,light
Croton Banana (Codiaeum Variegatum),"Your Gold Dust Croton will do best in a bright spot, as it needs lots of light (if possible 4-6 hrs. Per day) to produce the golden speckles. If your croton does not get enough light, you might find the plant grows tall and lanky with spare leaves lacking the rich, dark hues.",direct
Croton Petra (Codiaeum Variegatum),"Prefers bright light, and ideally receives 6 hours of sunlight a day.  Can tolerate medium light but leaves will be less colorful.",dircet
Cryptanthus Fosterianus,Part-shade.,shade
Culantro Thai Parsley (Eryngium Foetidum),Full sun to partial shade. The leaves grow larger and more tender this way.,direct
Curry Leaves (Murraya Koenigii),Grow in full sun.,direct
Curved Stem Everfresh Tree (Pithecellobium Confertum) JAPAN,Indirect Light.,indirect
Davallia Fejeensis Fern (Rabbit's Foot),"Provide indirect bright light - avoiding direct sunlight. Direct sunlight will scorch the leaves and turn the rhizomes brown, especially with low humidity levels.",indirect
Dieffenbachia 'Sparkle' (Dumbcane),Shade or Partial sunlight.,shade
Dieffenbachia Americano (Dumbcane),Shade or Partial sunlight.,shade
Dieffenbachia Cheetah (Dumbcane),Shade or Partial sunlight.,shade
Dieffenbachia Compacta (Dumbcane),Shade or Partial sunlight.,shade
Dieffenbachia Exotica,"Dieffenbachia Exotica thrives in bright, indirect light. It can tolerate some lower light conditions, but avoid deep shade. Place the plant near a north or east-facing window or provide filtered light.",indirect
Dieffenbachia Starbright (Dumbcane),"Indirect sunlight, Shade.",indirect
Dieffenbachia Sterling (Dumbcane),Shade or Partial sunlight.,shade
Dieffenbachia Tropic Marianne,Shade or Partial sunlight.,shade
Dischidia Nummularia (String Of Nickels),"Bright indirect light, or filtered light, works well for this plant. A little morning sun also works very well, especially indoors.",indirect
Dischidia Oiantha 'Silver Star',"Bright indirect light, or filtered light, works well for this plant. A little morning sun also works very well, especially indoors.",indirect
Dracaena Compacta,"The Dracaena Compacta can tolerate moderate light when indoors. Low light tends to stagnate growth in this plant, and the foliage at the base of the plant will begin to loosen and die.",indirect
Dracaena Draco - Single Stem (Dragon Tree),"Dracaena prefers bright, indirect light; it tolerates dimmer light, but growth slows as a result.",indirect
Dracaena Florida Beauty,"Bright, indirect sunlight.",indirect
Dracaena Fragrance 'Compacta' Variegated,"The Dracaena Compacta can tolerate moderate light when indoors. Low light tends to stagnate growth in this plant, and the foliage at the base of the plant will begin to loosen and die.",indirect
Dracaena Fragrans (Iron Plant),They do best in light shade or gently filtered sunlight. The leaves will scorch if too bright and if it's too dark the new leaves will be quite small and the stripe(s) may look quite different from those found on the older ones.,shade
Dracaena Fragrans - Multi Stems (Iron Plant),They do best in light shade or gently filtered sunlight. The leaves will scorch if too bright and if it's too dark the new leaves will be quite small and the stripe(s) may look quite different to those found on the older ones.,shade
Dracaena Reflexa (Song Of India),"Filtered indoor light (such as through a sheer curtain in front of a sunny window) or a semi-shade spot is an ideal location. Never place a dracaena plant in direct sun, as the rays will scorch its foliage.",indirect
Dracaena Song Of India,"Dracaena prefers bright, indirect light; it tolerates dimmer light, but growth slows as a result.",indirect
Dracaena Surculosa 'Lindl',"Bright, indirect sunlight.",indirect
Dracaena Thailoides,They do best in light shade or gently filtered sunlight. The leaves will scorch if too bright and if it's too dark the new leaves will be quite small and the stripe(s) may look quite different to those found on the older ones.,shade
Drynaria Rigidula (Basket Fern),Fern in a hanging container will generally do well with morning sunlight but needs afternoon shade.,shade
English Ivy 'Chicago' (Hedera Helix)," The best spot for an indoor-grown variegated ivy is one that gets bright, indirect light, such as 1 or 2 feet from a west- or south-facing window. The plant can also grow in low- to medium-light conditions, or under artificial lights, but its growth may slow and its leaves may become more uniformly green.",indirect
English Ivy 'Variegated' (Hedera Helix)," The best spot for an indoor-grown variegated ivy is one that gets bright, indirect light, such as 1 or 2 feet from a west- or south-facing window. The plant can also grow in low- to medium-light conditions, or under artificial lights, but its growth may slow and its leaves may become more uniformly green.",indirect
Epipremnum Aureum (Money Plant),Shady bright indirect sunlight.,indirect
Epipremnum Golden (Money Plant),Golden Pothos is a very versatile plant that can tolerate the lower light levels or bright filtered light of a home while also thriving in the full sun. Indoor Golden Pothos require bright filtered light during most of the year.,indirect
Epipremnum Golden Queen (Money Plant),"Golden Pothos is a very versatile plant that can tolerate the lower light levels or bright filtered light of a home while also thriving in the full sun. Outdoor plants can tolerate full sun to partial shade such as would be found when grown through trees, against a wall, or over a pergola",indirect
Epipremnum Hanging Pot (Manjula),Shady bright indirect sunlight.,indirect
Epipremnum Manjula (Money Plant),Shady bright indirect sunlight.,indirect
Epipremnum Marble Queen (Money Plant),Shady bright indirect sunlight.,indirect
Epipremnum Njoy (Money Plant),Shady bright indirect sunlight.,indirect
Epipremnum Pinnatum Albo Variegata (Money Plant),"Needs medium light, and will grow best in bright indirect sunlight. Keep away from direct sunlight. Well suited to an indoor location but also survive outdoors under a patio.",indirect
Epipremnum Pinnatum Albo Variegata With Plant Support,"Needs medium light, will grow best in bright indirect sunlight. Keep away from direct sunlight. Well suited to an indoor location but also survive outdoors under a patio.",indirect
Epipremnum With Plant Supporter (Money Plant),Shady bright indirect sunlight.,indirect
Episcia Cupreta 'Xantha' (Flame Violet),"Bright, indirect light. Place your plant near a bright window, but out of the direct sun.",indirect
Everfresh Tree (Pithecellobium Confertum) JAPAN,Indirect Light.,indirect
Fairy Castle Cactus (Cereus Tetragonus),"Fairy Castle Cactus thrives in bright, indirect light. It can tolerate some direct sunlight, especially in the morning or late afternoon. Place the plant near a south-facing window or outdoors in a spot with bright, filtered light. Provide shade during the hottest part of the day, especially in regions with intense sunlight.",indirect
Fancaria Tigrina (Tiger Jaws), Indirect sunlight would be ideal.,indirect
Ficus 'Amstel King' (Ficus Alii Tree),"Prefer bright, indirect light. They can still survive in medium light but it takes longer to produce new leaves.",indirect
Ficus Altisiima Variegata (Bending),"Can tolerate direct sunlight. Bright, indirect light produces the best leaves.",indirect
Ficus Altissima (JAPAN),"Can tolerate direct sunlight. Bright, indirect light produces the best leaves.",indirect
Ficus Altissima Golden,"Medium Shade, Partial Shade, Partial Sun.",shade
Ficus Benghalensis (Indian Banyan),"Similar to most Ficus trees, the Ficus Audrey prefers a spot where it will receive plenty of bright, indirect light. This plant will not tolerate long periods of direct sun or low light conditions.",indirect
Ficus Benghalensis Variegata,"Similar to most Ficus trees, the Ficus Audrey prefers a spot where it will receive plenty of bright, indirect light. This plant will not tolerate long periods of direct sun or low light conditions.",indirect
Ficus Elastica 'Burgundy',"As the Ficus elastica likes to be in soil with a good amount of moisture, avoid placing it somewhere drying, such as near a drafty window or vent, heater, or in direct sunlight. Bright, indirect light is ideal for growing the Rubber Plant, however, they are unusually tolerant of lower light spaces for a ficus.",indirect
Ficus Elastica 'Ruby',"Bright, indirect light is ideal for growing the Rubber Plant, however, they are unusually tolerant of lower light spaces for a ficus.",indirect
Ficus Elastica 'Shivereana',"As the Ficus elastica likes to be in soil with a good amount of moisture, avoid placing it somewhere drying, such as near a drafty window or vent, heater, or in direct sunlight. Bright, indirect light is ideal for growing the Rubber Plant, however, they are unusually tolerant of lower light spaces for a ficus.",indirect
Ficus Elastica Robusta,"As the Ficus elastica likes to be in soil with a good amount of moisture, avoid placing it somewhere drying, such as near a drafty window or vent, heater, or in direct sunlight. Bright, indirect light is ideal for growing the Rubber Plant, however, they are unusually tolerant of lower light spaces for a ficus.",indirect
Ficus Elastica Tineke,"As the Ficus elastica likes to be in soil with a good amount of moisture, avoid placing it somewhere drying, such as near a drafty window or vent, heater, or in direct sunlight. Bright, indirect light is ideal for growing the Rubber Plant, however, they are unusually tolerant of lower light spaces for a ficus.",indirect
Ficus Elastica Variegata,"As the Ficus elastica likes to be in soil with a good amount of moisture, avoid placing it somewhere drying, such as near a drafty window or vent, heater, or in direct sunlight. Bright, indirect light is ideal for growing the Rubber Plant, however, they are unusually tolerant of lower light spaces for a ficus.",indirect
Ficus Lyrata,Part shade.,shade
Ficus Lyrata Compacta,Bright indirect sunlight.,indirect
Ficus Lyrata Topiary,Part shade.,shade
Ficus Pumila 'White Sunny' Variegata,It prefers a bright room but does not like direct sunlight. It can survive in low-light conditions for an extended period but will grow more slowly and perhaps drop leaves.,indirect
Ficus Rubiginosa Australis (Bending),"Can tolerate direct sunlight. Bright, indirect light produces the best leaves.",indircet
Ficus Triangularis Variegata,Ficus plant prefers full sun to partial shade with moderate watering.,direct
Ficus Umbellata,"Place in a light area, out of direct sunlight.",indirect
Fishtail Fern (Microsorum Punctatum),Partial Sunlight.,indirect
Fittonia Albivenis (Mosaic Plant),"It dislikes full sunlight, preferring bright, indirect sun, such as that offered by north-facing windows. It will also thrive under fluorescent lights.",indirect
Foxtail Fern (Asparagus Densiflorus),SHOP MORE > FERTILIZER LIGHT REQUIREMENT,direct
Gasteria Bicolor (Lawyer's Tongue),Partial shade.,shade
Gasteria Gracilis Variegata,Partial shade.,shade
Geranium Aralia (Polyscias Guilfoylei),"Geranium Aralia thrives in bright, indirect light. It can tolerate some direct sunlight, especially during the morning or late afternoon. Provide some shade during the hottest part of the day, particularly in regions with intense sunlight.",indirect
Gloxinia,"Place them in a bright area, out of direct sunlight. A location near a sunny window just outside the reach of the sun's rays is ideal.",indirect
Golden Boston Fern (Nephrolepis Exaltata),"They thrive in lots of indirect light. Morning sun is ideal, as full afternoon sun can burn the fronds.",indirect
Graptophyllum Pictum (Tricolor Caricature Plant)," It is best to use a bright light, you can grow on a southern window, but in the summer it will require shading. It can also grow on the west and east window.",indirect
Gymnocalycium Mihanovichii (Mini Grafted Cactus) - Variety 5,"Place these guys indoors or sheltered under verandas or patios as the rootstock is sensitive to the cold and frost. They do need partial sun, so next to a window is the perfect location if they are indoors.",indirect
Gynura Aurantiaca (Velvet Plant),"They should be placed in areas of your home that receive bright, but filtered sunlight. If they don t get enough light, their leaves will lose the brilliant purple color that the plant is known for. ",indirect
Haworthia Attenuata,"Haworthias are reasonably adaptable plants that will take various light conditions, but neither direct sunlight nor deep shade. Move to a shady spot and if the damage isn't too bad these colorings will fade over time.",direct
Haworthia Cooperi,"Haworthias are reasonably adaptable plants that will take various light conditions, but neither direct sunlight nor deep shade. Move to a shady spot and if the damage isn't too bad these colorings will fade over time.",direct
Haworthia Fasciata 'Alba' Albino,"Partial sun, Shade.",shade
Haworthia Limifolia 'Fairy Washboard',"Haworthias are reasonably adaptable plants that that will take various light conditions, but neither direct sunlight nor deep shade. Direct sunlight will make the leaves of all Haworthia's go an ugly red, purple or brown color.",shade
Haworthia Truncata,"Haworthias are reasonably adaptable plants that will take various light conditions, but neither direct sunlight nor deep shade. Move to a shady spot and if the damage isn't too bad these colorings will fade over time.",shade
Hemigraphis Repanda (Dragon Tongue),"Bright, indirect light.",indirect
Holy Basil (Tulsi),"Holy basil thrives in full sun but grows in partial shade too, at least four hours of sunlight a day is required.",direct
Homalomena (Emerald Gem),It requires medium indirect light but grows even better in bright indirect light. It can survive in low light but become thin and spindly and the bottom leaves will turn yellow and fall off when there is not enough light.,indirect
Homalomena Green Gem,It requires medium indirect light but grows even better in bright indirect light. It can survive in low light but become thin and spindly and the bottom leaves will turn yellow and fall off when there is not enough light.,indirect
Homalomena Rubescens (Queen Of Hearts),It requires medium indirect light but grows even better in bright indirect light. It can survive in low light but become thin and spindly and the bottom leaves will turn yellow and fall off when there is not enough light.,indirect
Hoya Carnosa,It prefers bright indirect light and can even tolerate some full sun. Morning or evening sun is ideal.,indirect
Hoya Compacta (Hindu Rope),"The plant cannot tolerate direct sunlight combined with high heat, as it will scorch the flowers and leaves. 6 hours of bright but indirect sunlight are recommended for the healthy growth of hoya plants.",indirect
Hoya Kerrii Variegated,"This plant will need a reasonable lightroom in order to actually grow, although it will still get by even if you pick a shadier spot, very dark places need to be avoided though. Sunlight is acceptable too, so in reality, you could position it almost anywhere in your home or office.",indirect
Hoya Pachyclada On Wood,It prefers bright indirect light and can even tolerate some full sun. Morning or evening sun is ideal.,indirect
Huperzia Phlegmaria (Tassel Ferns),"Tassel Ferns require good light for growth but must be protected from full sun. Plants that grow very bright light often take on a bleached appearance, additional shade should be provided to plants that take on this appearance.",indirect
Ionopsis On Wood,"Bright, indirect light from an eastern or southern window is ideal. Leaf color is a good indicator of the amount of light an orchid is getting; Bright green leaves indicate a happy, healthy plant. ",indirect
